Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-12.587500,-9.250000,180.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-12.637500,-7.500000,180.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-12.736000,6.332000,0.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-12.637500,-11.000000,180.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.000000,4.500000,90.000000,top
"C6","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",5.500000,7.500000,180.000000,top
"C7","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",3.024560,4.789540,90.000000,top
"C8","4.7uf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-23.500000,6.000000,180.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",3.250000,0.087500,90.000000,top
"D1","B5819W","D_SMA_Handsoldering",12.500000,11.000000,90.000000,top
"D2","YELLOW","LED_0805_2012Metric_Castellated",-31.050000,-8.787500,90.000000,top
"D3","YELLOW","LED_0805_2012Metric_Castellated",-29.000000,-8.750000,90.000000,top
"D4","YELLOW","LED_0805_2012Metric_Castellated",-27.000000,-8.787500,90.000000,top
"D5","YELLOW","LED_0805_2012Metric_Castellated",-23.750000,-8.712500,90.000000,top
"D6","YELLOW","LED_0805_2012Metric_Castellated",-21.500000,-8.787500,90.000000,top
"F1","500mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",11.553880,4.097560,180.000000,top
"FB1","100 @ 100Mhz","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",8.282360,4.672840,90.000000,top
"IC1","AX-SIP-SFEU-1-01-TX30","AXSIPSFEU101TX30",-27.000000,0.250000,0.000000,top
"J5","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",-34.900020,1.191780,180.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-7.640000,5.824000,0.000000,top
"R2","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-31.050000,-12.750000,270.000000,top
"R3","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-29.000000,-12.750000,270.000000,top
"R4","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-26.950000,-12.750000,270.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-1.000000,-4.000000,90.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-1.000000,3.750000,270.000000,top
"R7","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-23.750000,-12.750000,270.000000,top
"R8","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.500000,-12.750000,270.000000,top
"U1","XC6206PxxxMR","SOT-23",5.806000,4.808000,0.000000,top
"U3","STM32L082KZTx","LQFP-32_7x7mm_P0.8mm",-12.750000,-0.500000,315.000000,top
