Designator,Mid X,Mid Y,Layer,Rotation
C1,-12.5875,-9.25,top,180
C2,-12.6375,-7.5,top,180
C3,-12.736,6.332,top,0
C4,-12.6375,-11,top,180
C5,-18,4.5,top,90
C6,5.5,7.5,top,180
C7,3.02456,4.78954,top,90
C8,-23.5,6,top,180
C9,3.25,0.0875,top,90
D1,12.5,11,top,90
D2,-31.05,-8.7875,top,90
D3,-29,-8.75,top,90
D4,-27,-8.7875,top,90
D5,-23.75,-8.7125,top,90
D6,-21.5,-8.7875,top,90
F1,11.55388,4.09756,top,180
FB1,8.28236,4.67284,top,90
IC1,-27,0.25,top,0
J5,-34.90002,1.19178,top,180
R1,-7.64,5.824,top,0
R2,-31.05,-12.75,top,270
R3,-29,-12.75,top,270
R4,-26.95,-12.75,top,270
R5,-1,-4,top,90
R6,-1,3.75,top,270
R7,-23.75,-12.75,top,270
R8,-21.5,-12.75,top,270
U1,5.806,4.808,top,0
U3,-12.75,-0.5,top,315
